word,img,cat,subcat,jitter,run,trial_onset,image_onset,image_offset,response,RT,
HADDOCK,filler_02.JPG,0,0,1.5,1,2.5879378999998153,4.098928299999898,8.098547999999937,['1'],[3.750139900001159],
LATCH,scene_O21.JPG,1,2,1.5,1,9.683453599998757,11.19816709999941,15.19707759999983,['2'],[3.878129099999569],
CAMP,scene_O07.JPG,1,2,5.5,1,16.729055899999366,18.230265099999087,22.22982989999946,['3'],[3.096773299999768],
TEMPLE,object_N02.JPG,2,3,1.5,1,27.779500099999495,29.29574119999961,33.2949095999993,['2'],[2.3819920999994793],
CHAIR,object_N16.JPG,2,3,5.5,1,34.83017049999944,36.344706300000325,40.3440746999986,['2'],[3.328437899999699],
ANACONDA,object_M29.JPG,2,4,5.5,1,45.87025269999867,47.384323199999926,51.38379789999999,['3'],[3.548469000001205],
ORCHESTRA,scene_I27.JPG,1,1,1.5,1,56.9200525999986,58.433450399999856,62.43282530000033,['3'],[2.5718835999996372],
LILY,object_N17.JPG,2,3,1.5,1,63.971938200000295,65.48172079999858,69.48129460000018,['1'],[2.3383706000004167],
FILM,scene_I32.JPG,1,1,5.5,1,71.01451590000033,72.53118600000016,76.53037880000011,['3'],[2.978831000000355],
PACKAGE,scene_I19.JPG,1,1,5.5,1,82.07001229999878,83.57939669999905,87.57920269999886,['2'],[3.2059143999995285],
HIGHCHAIR,scene_I24.JPG,1,1,1.5,1,93.12249960000008,94.62774879999961,98.6352396000002,['3'],[3.113170500000706],
EXIT,object_N18.JPG,2,3,1.5,1,100.20917109999937,101.71847369999887,105.71799319999991,['2'],[4.149628600000142],
PETAL,scene_O28.JPG,1,2,1.5,1,107.24579470000026,108.75109650000013,112.74979319999875,['3'],[4.008068799999819],
BAR,scene_I18.JPG,1,1,1.5,1,114.2988521999996,115.80010479999873,119.79971689999911,['1'],[3.843980499999816],
CIRCLE,scene_O29.JPG,1,2,1.5,1,121.35207489999993,122.86561749999964,126.86515589999908,['3'],[3.615552299999763],
BEEF,object_N10.JPG,2,3,1.5,1,128.4001135999988,129.9147541000002,133.9142426999988,['1'],[3.5004093000006833],
TUBE,scene_O13.JPG,1,2,1.5,1,135.45054489999893,136.96377099999881,140.96327149999888,['2'],[3.460208899999998],
BEER,object_M23.JPG,2,4,5.5,1,142.4943906999997,143.99604120000004,147.9953485999995,['2'],[3.1018442000004143],
JADE,object_M08.JPG,2,4,1.5,1,153.54124469999988,155.05288699999983,159.05177009999898,['1'],[2.452367800000502],
TRAIN,object_M09.JPG,2,4,1.5,1,160.59007259999998,162.1019901999989,166.10170610000023,['3'],[3.047006099999635],
LIBRARY,scene_I16.JPG,1,1,1.5,1,167.6338883999997,169.13434189999862,173.15022999999928,['3'],[2.969888900001024],
HERB,object_N20.JPG,2,3,1.5,1,174.70120019999922,176.2168927999992,180.21597239999937,['1'],[2.3625974000005954],
CABLE,object_M03.JPG,2,4,1.5,1,181.7537539999994,183.26538729999993,187.26514359999965,['1'],[2.7175853999997344],
BATTLE,object_M18.JPG,2,4,1.5,1,188.81731609999952,190.33111719999943,194.33084319999944,['1'],[3.598963200000071],
SLIPPER,scene_O11.JPG,1,2,5.5,1,195.86105959999986,197.3643059999995,201.36284689999957,['3'],[3.439132499999687],
GRANITE,object_N21.JPG,2,3,1.5,1,206.91110879999906,208.4201964999993,212.42014729999937,['1'],[3.607611600000382],
JACKET,scene_I30.JPG,1,1,1.5,1,213.94579059999887,215.45323519999874,219.45102249999945,['2'],[3.330869499999608],
LADDER,object_N11.JPG,2,3,5.5,1,220.97958349999863,222.4850821,226.48471900000004,['1'],[3.773069899998518],
JELLY,object_M01.JPG,2,4,1.5,1,232.01553309999872,233.51689239999905,237.51674040000034,['3'],[3.213392499999827],
MAIDEN,object_M30.JPG,2,4,1.5,1,239.04241309999998,240.54930309999872,244.54829979999886,['3'],[4.230901599999925],
GHOST,scene_O24.JPG,1,2,1.5,1,246.0769010999993,247.58129749999898,251.58105289999912,['3'],[3.3459963999994216],
GLASS,scene_O16.JPG,1,2,1.5,1,253.12156069999946,254.63056750000032,258.6299352999995,['2'],[3.3533366000010574],
MACHINERY,scene_I14.JPG,1,1,1.5,1,260.1659650999991,261.67991359999905,265.67093980000027,['3'],[3.4399777999988146],
